BEnh,h,d,R,P0,Nb,a
-28.61148128,1,10,990050,0.00513358,2019,2
-28.57083533,1,10,980050,0.005098598,2013,2
-28.52975016,1,10,970050,0.005062326,2006,2
-28.48821662,1,10,960050,0.00502724,2000,2
-28.45438817,1,15,990050,0.006782761,1528,2
-28.44622519,1,10,950050,0.00499087,1993,2
-28.41473691,1,15,980050,0.006737159,1524,2
-28.40376609,1,10,940050,0.004955675,1987,2
-28.3746507,1,15,970050,0.006689337,1519,2
-28.36082923,1,10,930050,0.004919203,1980,2
-28.33412039,1,15,960050,0.006641455,1514,2
-28.31740415,1,10,920050,0.004882681,1973,2
-28.31634241,1,20,990050,0.008276905,1252,2
-28.29313654,1,15,950050,0.006593511,1509,2
-28.27755134,1,20,980050,0.008221552,1249,2
-28.27348009,1,10,910050,0.004846106,1966,2
-28.25168942,1,15,940050,0.006545504,1504,2
-28.23832915,1,20,970050,0.00816293,1245,2
-28.22904591,1,10,900050,0.004810682,1960,2
-28.20976901,1,15,930050,0.006497432,1499,2
-28.19866675,1,20,960050,0.008104236,1241,2
-28.19123253,1,25,990050,0.009670156,1072,2
-28.18409011,1,10,890050,0.004773994,1953,2
-28.16736491,1,15,920050,0.006449293,1494,2
-28.15855476,1,20,950050,0.00804547,1237,2
-28.15320979,1,25,980050,0.009602991,1069,2
-28.13860078,1,10,880050,0.004737251,1946,2
-28.12446642,1,15,910050,0.006401086,1489,2
-28.11798351,1,20,940050,0.00798663,1233,2
32.9748295,8,1,50,1.47068E-06,356,2
32.9748295,8,1,50,1.47068E-06,356,2
32.9748295,8,1,50,1.47068E-06,356,4
32.9748295,8,1,50,1.47068E-06,356,4
32.97492267,8,2,50,2.33319E-06,224,2
32.97500082,8,3,50,3.05787E-06,171,2
32.97500082,8,3,50,3.05787E-06,171,2
32.97507057,8,2,50,3.7023E-06,141,4
32.97507057,8,4,50,3.7023E-06,141,2
32.97513468,8,5,50,4.30481E-06,122,2
32.97513468,8,5,50,4.30481E-06,122,2
32.97519463,8,6,50,4.86037E-06,108,2
32.97519463,8,6,50,4.86037E-06,108,2
32.97525131,8,7,50,5.37393E-06,97,2
32.97530535,8,8,50,5.88294E-06,89,2
32.97530535,8,8,50,5.88294E-06,89,2
32.97535718,8,3,50,6.35274E-06,82,4
32.97535718,8,3,50,6.35274E-06,82,4
32.97535718,8,9,50,6.35274E-06,82,2
32.97540711,8,10,50,6.84004E-06,77,2
32.97540711,8,10,50,6.84004E-06,77,2
32.97545541,8,11,50,7.27568E-06,72,2
32.97545541,8,11,50,7.27568E-06,72,2
32.97550226,8,12,50,7.71351E-06,68,2
32.97554784,8,13,50,8.10683E-06,64,2
32.97554784,8,13,50,8.10683E-06,64,2
32.97559225,8,14,50,8.52339E-06,61,2
32.97563562,8,15,50,8.98127E-06,59,2
32.97563562,8,15,50,8.98127E-06,59,2
32.97567802,8,4,50,9.33332E-06,56,4
-1.607288731,8,29,390050,0.066083634,62,4
-1.605853484,8,17,210050,0.01826527,120,4
-1.602552009,8,23,270050,0.03442576,82,4
-1.602552009,8,23,270050,0.03442576,82,4
-1.602108896,4,35,50050,0.018309537,28,4
-1.602088099,8,14,190050,0.012880012,154,4
-1.601860424,8,25,300050,0.042419325,74,4
-1.601860424,8,25,300050,0.042419325,74,4
-1.599303246,8,15,150050,0.00188051,836,2
-1.599303246,8,15,150050,0.00188051,836,2
-1.598263843,8,30,420050,0.073906882,59,4
-1.598263843,8,30,420050,0.073906882,59,4
-1.597898515,8,10,170050,0.00744898,239,4
-1.597898515,8,10,170050,0.00744898,239,4
-1.591122038,2,55,10050,0.010975307,9,4
-1.590660693,8,4,150050,0.001963535,800,4
-1.590660693,8,16,150050,0.001963535,800,2
-1.590660693,8,16,150050,0.001963535,800,2
-1.590604358,8,28,360050,0.058738392,65,4
-1.590604358,8,28,360050,0.058738392,65,4
-1.582410719,4,20,40050,0.007170449,59,4
-1.582203938,8,17,150050,0.002045448,768,2
-1.573918668,8,18,150050,0.002125853,739,2
-1.573918668,8,18,150050,0.002125853,739,2
-1.567685469,4,51,70050,0.04203425,18,4
-1.565792392,8,19,150050,0.002205515,713,2
-1.563113011,8,24,280050,0.037872343,78,4
-1.562724259,2,120,20050,0.065300923,4,4
-1.55781417,8,20,150050,0.002281957,688,2
1.00217494,8,6,80050,0.000667096,1257,2
1.00217494,8,6,80050,0.000667096,1257,2
1.004655543,8,17,100050,0.010778435,97,4
