BEnh,h,d,R,P0,Nb,a
-28.61148128,1,10,990050,0.00513358,2019,2
-28.57083533,1,10,980050,0.005098598,2013,2
-28.52975016,1,10,970050,0.005062326,2006,2
-28.48821662,1,10,960050,0.00502724,2000,2
-28.45438817,1,15,990050,0.006782761,1528,2
-28.44622519,1,10,950050,0.00499087,1993,2
-28.41473691,1,15,980050,0.006737159,1524,2
-28.40376609,1,10,940050,0.004955675,1987,2
-28.3746507,1,15,970050,0.006689337,1519,2
-28.36082923,1,10,930050,0.004919203,1980,2
-28.33412039,1,15,960050,0.006641455,1514,2
-28.31740415,1,10,920050,0.004882681,1973,2
-28.31634241,1,20,990050,0.008276905,1252,2
-28.29313654,1,15,950050,0.006593511,1509,2
-28.27755134,1,20,980050,0.008221552,1249,2
-28.27348009,1,10,910050,0.004846106,1966,2
-28.25168942,1,15,940050,0.006545504,1504,2
-28.23832915,1,20,970050,0.00816293,1245,2
-28.22904591,1,10,900050,0.004810682,1960,2
-28.20976901,1,15,930050,0.006497432,1499,2
-28.19866675,1,20,960050,0.008104236,1241,2
-28.19123253,1,25,990050,0.009670156,1072,2
-28.18409011,1,10,890050,0.004773994,1953,2
-28.16736491,1,15,920050,0.006449293,1494,2
-28.15855476,1,20,950050,0.00804547,1237,2
-28.15320979,1,25,980050,0.009602991,1069,2
-28.13860078,1,10,880050,0.004737251,1946,2
-28.12446642,1,15,910050,0.006401086,1489,2
-28.11798351,1,20,940050,0.00798663,1233,2
