BEnh,h,d,R,P0,Nb,a
0.8423446634398097,1,80,1000,0.00020143030487196082,52,2
-2.1552451059418614,1,80,2000,0.0003188034361720684,65,2
-3.905510539336474,1,80,3000,0.000419755957582448,75,2
-5.14540361468494,1,80,4000,0.0005071816686685016,82,2
-6.105786239828768,1,80,5000,0.000591146380349583,89,2
-6.889454666374034,1,80,6000,0.0006659335994391658,94,2
-7.5512272464573975,1,80,7000,0.0007386109739121589,99,2
-8.123816055149797,1,80,8000,0.0008097541171554228,104,2
-8.62831619072444,1,80,9000,0.0008757116715986916,108,2
-9.079126451434847,1,80,10000,0.0009405083663143283,112,2
-12.03104406493276,1,80,20000,0.0014938261961009883,140,2
-13.74325770561121,1,80,30000,0.0019632775469954223,160,2
-14.949383304714036,1,80,40000,0.0023856407895778225,176,2
-15.878892677071118,1,80,50000,0.002772531040946939,189,2
-16.63383350558284,1,80,60000,0.0031333378809058014,200,2
-17.268562610390514,1,80,70000,0.003485580834879605,211,2
-17.815482145192963,1,80,80000,0.003814753958701845,220,2
-18.295464416215175,1,80,90000,0.004129333418169612,228,2
-18.722744035851978,1,80,100000,0.004438922370342858,236,2
-21.474647739368717,1,80,200000,0.007139295418257992,293,2
-23.024156685738504,1,80,300000,0.009466229267878783,332,2
-24.08880939047124,1,80,400000,0.011585327466969357,362,2
-24.891315478674084,1,80,500000,0.013558395470486583,386,2
-25.53004921854187,1,80,600000,0.015443780992146062,407,2
-26.057083236869296,1,80,700000,0.017248069079857948,425,2
-26.50327403756398,1,80,800000,0.018993045797229435,441,2
-26.888385348768807,1,80,900000,0.020701899620752664,456,2
-27.225821680684973,1,80,1000000,0.022355635667000214,469,2
-29.25924278296586,1,80,2000000,0.03751715664184824,558,2
-30.278944050172562,1,80,3000000,0.05137496451813599,611,2
-30.91846164519362,1,80,4000000,0.0646065386682224,648,2
-31.364870191937083,1,80,5000000,0.07747288513087115,676,2
-31.697225252802422,1,80,6000000,0.09008914438293464,698,2
-31.95568935952117,1,80,7000000,0.10247898798993454,715,2
-32.1631575748002,1,80,8000000,0.1147938799672251,730,2
-32.333764720873056,1,80,9000000,0.12696118321975838,742,2
7.366454732324899,2,40,1000,0.00012716278060079922,83,2
4.364169786885458,2,40,2000,0.00020142869413017413,104,2
2.6099747999281826,2,40,3000,0.0002640270948360822,119,2
1.366579527422417,2,40,4000,0.00032002237591893595,131,2
0.4029833993350821,2,40,5000,0.0003713586689950204,141,2
-0.3836855306075499,2,40,6000,0.0004197511210020386,150,2
-1.048291808619895,2,40,7000,0.00046549013664066,158,2
-1.6235789545557453,2,40,8000,0.0005087158664358723,165,2
-2.1306634605922987,2,40,9000,0.0005494875929558924,171,2
-2.583961409613105,2,40,10000,0.0005894795198932619,177,2
-5.55730220866002,2,40,20000,0.0009383986137404447,223,2
-7.287323159887444,2,40,30000,0.0012319330365589255,255,2
-8.509220013090776,2,40,40000,0.001493793811991369,280,2
-9.453122516828182,2,40,50000,0.0017378584565459938,302,2
-10.221434205685455,2,40,60000,0.001963228880692565,320,2
-10.868730274833478,2,40,70000,0.002179863343629588,337,2
-11.427560392021853,2,40,80000,0.002382217335096281,351,2
-11.918902800570631,2,40,90000,0.002580660679606274,365,2
-12.35707026210821,2,40,100000,0.0027724496755312657,378,2
