BEnh,h,d,R,P0,Nb,a
-1.9767479855468109,1,80,1000,0.001,1000,2
-4.958716619446194,1,80,2000,0.001,1000,2
-6.697733224504841,1,80,3000,0.002,1000,2
-7.932771349616231,1,80,4000,0.002,1000,2
-8.887522261554958,1,80,5000,0.002,1000,2
-9.664985536843652,1,80,6000,0.002,1000,2
-10.320104292911129,1,80,7000,0.002,1000,2
-10.887753105905302,1,80,8000,0.003,1000,2
-11.389591895527742,1,80,9000,0.003,1000,2
-11.83748040322294,1,80,10000,0.003,1000,2
-14.762634343399782,1,80,20000,0.004,1000,2
-16.45737905129498,1,80,30000,0.005,1000,2
-17.65025122363152,1,80,40000,0.006,1000,2
-18.569184455951966,1,80,50000,0.006,1000,2
-19.316822004393146,1,80,60000,0.007,1000,2
-19.94410038289455,1,80,70000,0.008,1000,2
-20.485568099515223,1,80,80000,0.008,1000,2
-20.960241295493365,1,80,90000,0.009000000000000001,1000,2
-21.383281856360078,1,80,100000,0.009000000000000001,1000,2
-24.10979617124731,1,80,200000,0.013000000000000005,1000,2
-25.649287243522917,1,80,300000,0.016000000000000007,1000,2
-27.22583528462492,1,80,400000,0.001,1000,2
-30.44897216511464,1,80,500000,0.001,1000,2
-33.74339986694547,1,80,600000,0.001,1000,2
-37.04541635459069,1,80,700000,0.001,1000,2
-40.32660062138655,1,80,800000,0.001,1000,2
1.1090254052564128,2,40,1000,0.001,1000,2
-1.8939118797419177,2,40,2000,0.001,1000,2
-3.6474618412095587,2,40,3000,0.001,1000,2
-4.889486622979146,2,40,4000,0.001,1000,2
-5.851224215899567,2,40,5000,0.001,1000,2
-6.63567418891015,2,40,6000,0.001,1000,2
-7.2977796501518934,2,40,7000,0.001,1000,2
-7.870336740147639,2,40,8000,0.001,1000,2
-8.374499643182652,2,40,9000,0.001,1000,2
-8.824712288938581,2,40,10000,0.001,1000,2
-11.795833016689635,2,40,20000,0.002,1000,2
-13.518104658953138,2,40,30000,0.002,1000,2
-14.74034427116196,2,40,40000,0.003,1000,2
-15.682488234594953,2,40,50000,0.003,1000,2
-16.44752854353768,2,40,60000,0.004,1000,2
-17.095899834699367,2,40,70000,0.004,1000,2
-17.654726131046427,2,40,80000,0.004,1000,2
-18.14516169416796,2,40,90000,0.004,1000,2
-18.582219204565888,2,40,100000,0.005,1000,2
-21.42981542593806,2,40,200000,0.006,1000,2
-23.06014022940913,2,40,300000,0.008,1000,2
-24.194151232149764,2,40,400000,0.009000000000000001,1000,2
-25.058601124230442,2,40,500000,0.010000000000000002,1000,2
-25.754205154580685,2,40,600000,0.012000000000000004,1000,2
-26.333361576272782,2,40,700000,0.013000000000000005,1000,2
-26.827724749216515,2,40,800000,0.014000000000000005,1000,2
4.174819858866175,4,20,1000,0.001,1000,2
1.1666405213369466,4,20,2000,0.001,1000,2
-0.5921514840867512,4,20,3000,0.001,1000,2
-1.8394182990617811,4,20,4000,0.001,1000,2
-2.8063979121084297,4,20,5000,0.001,1000,2
-3.5960898896730384,4,20,6000,0.001,1000,2
-4.2634373372402425,4,20,7000,0.001,1000,2
-4.841236392501615,4,20,8000,0.001,1000,2
-5.350641236734866,4,20,9000,0.001,1000,2
-5.806095796428272,4,20,10000,0.001,1000,2
-8.795194194004127,4,20,20000,0.001,1000,2
-10.534908721743811,4,20,30000,0.001,1000,2
-11.763101587285384,4,20,40000,0.001,1000,2
-12.719330499692461,4,20,50000,0.002,1000,2
-13.498720680746283,4,20,60000,0.002,1000,2
-14.155769515817934,4,20,70000,0.002,1000,2
-14.72327314701818,4,20,80000,0.002,1000,2
-15.222385760633667,4,20,90000,0.002,1000,2
-15.66755128876856,4,20,100000,0.002,1000,2
-18.577531200634485,4,20,200000,0.003,1000,2
-20.253831799562533,4,20,300000,0.004,1000,2
-21.425542760125197,4,20,400000,0.005,1000,2
-22.32485972076247,4,20,500000,0.005,1000,2
-23.049345864379426,4,20,600000,0.006,1000,2
-23.655663808587313,4,20,700000,0.006,1000,2
-24.173956817433254,4,20,800000,0.007,1000,2
7.1185192590553275,8,10,1000,0.001,1000,2
4.109029484664987,8,10,2000,0.001,1000,2
2.348927044243554,8,10,3000,0.001,1000,2
1.1003497961869173,8,10,4000,0.001,1000,2
0.13205975202877984,8,10,5000,0.001,1000,2
-0.6589426546239102,8,10,6000,0.001,1000,2
-1.3276005292002835,8,10,7000,0.001,1000,2
-1.9067100093361269,8,10,8000,0.001,1000,2
-2.4174252762525876,8,10,9000,0.001,1000,2
-2.874190256380602,8,10,10000,0.001,1000,2
-5.876392721447237,8,10,20000,0.001,1000,2
-7.629211022754872,8,10,30000,0.001,1000,2
-8.870507296914434,8,10,40000,0.001,1000,2
-9.831519527434885,8,10,50000,0.001,1000,2
-10.615247275789239,8,10,60000,0.001,1000,2
-11.276633642522484,8,10,70000,0.001,1000,2
-11.848474760425546,8,10,80000,0.001,1000,2
-12.351924805913052,8,10,90000,0.001,1000,2
-12.8014277006468,8,10,100000,0.001,1000,2
-15.739950346602274,8,10,200000,0.002,1000,2
-17.442758890963454,8,10,300000,0.002,1000,2
-18.634342771818485,8,10,400000,0.002,1000,2
-19.54854861455932,8,10,500000,0.003,1000,2
-20.29069692834961,8,10,600000,0.003,1000,2
-20.91078231434541,8,10,700000,0.003,1000,2
-21.441596469809,8,10,800000,0.003,1000,2
